2025-10-09 11:14:42 | WARNING | aiogram.dispatcher | Sleep for 4.993494 seconds and try again... (tryings = 13, bot id = 8358955738)
2025-10-09 11:14:47 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:14:47 | WARNING | aiogram.dispatcher | Sleep for 4.889692 seconds and try again... (tryings = 14, bot id = 8358955738)
2025-10-09 11:17:04 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:17:04 | WARNING | aiogram.dispatcher | Sleep for 5.124547 seconds and try again... (tryings = 15, bot id = 8358955738)
2025-10-09 11:19:33 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:33 | WARNING | aiogram.dispatcher | Sleep for 4.956042 seconds and try again... (tryings = 16, bot id = 8358955738)
2025-10-09 11:19:38 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:38 | WARNING | aiogram.dispatcher | Sleep for 4.960159 seconds and try again... (tryings = 17, bot id = 8358955738)
2025-10-09 11:19:43 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:43 | WARNING | aiogram.dispatcher | Sleep for 5.078580 seconds and try again... (tryings = 18, bot id = 8358955738)
2025-10-09 11:19:49 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:49 | WARNING | aiogram.dispatcher | Sleep for 4.986401 seconds and try again... (tryings = 19, bot id = 8358955738)
2025-10-09 11:19:54 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:54 | WARNING | aiogram.dispatcher | Sleep for 5.166287 seconds and try again... (tryings = 20, bot id = 8358955738)
2025-10-09 11:19:59 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:19:59 | WARNING | aiogram.dispatcher | Sleep for 5.033912 seconds and try again... (tryings = 21, bot id = 8358955738)
2025-10-09 11:20:05 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:05 | WARNING | aiogram.dispatcher | Sleep for 4.917984 seconds and try again... (tryings = 22, bot id = 8358955738)
2025-10-09 11:20:10 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:10 | WARNING | aiogram.dispatcher | Sleep for 4.912149 seconds and try again... (tryings = 23, bot id = 8358955738)
